Name;Matches;Runs;Avg;SR
VR Aaron;10;35;-;102.94
MA Agarwal;8;115;14.37;126.37
AN Ahmed;4;19;6.33;118.75
CJ Anderson;12;375;25.00;137.86
S Anirudha;1;3;3.00;60.00
Ankit Sharma;3;43;10.75;113.15
R Ashwin;16;53;17.66;96.36
P Awana;7;0;0.00;0.00
S Badree;4;24;12.00;64.86
GJ Bailey;17;669;31.85;139.95
L Balaji;9;1;1.00;33.33
R Bhatia;12;142;28.40;146.39
STR Binny;13;123;12.30;101.65
MS Bisla;1;11;3.66;39.28
DJ Bravo;1;718;25.64;131.50
JJ Bumrah;11;17;17.00;100.00
YS Chahal;14;8;-;114.28
UBT Chand;1;83;20.75;101.21
PP Chawla;11;134;26.80;152.27
KK Cooper;5;63;12.60;123.52
NM Coulter-Nile;2;36;9.00;102.85
PJ Cummins;1;28;7.00;90.32
BCJ Cutting;1;145;18.12;155.91
Q de Kock;7;806;28.78;125.54
M de Lange;1;21;7.00;123.52
AB de Villiers;14;535;33.43;158.28
R Dhawan;13;276;46.00;109.96
S Dhawan;14;441;25.94;114.84
MS Dhoni;16;541;60.11;150.27
AB Dinda;9;4;4.00;33.33
JP Duminy;14;902;45.10;126.50
BR Dunk;3;748;24.12;121.82
F du Plessis;15;566;23.58;127.19
JP Faulkner;13;311;34.55;143.31
AJ Finch;13;1172;30.84;127.94
G Gambhir;16;661;27.54;119.31
CM Gautam;9;155;14.09;95.09
CH Gayle;9;1056;32.00;120.13
S Gopal;4;35;17.50;159.09
Harbhajan Singh;14;199;16.58;131.78
JW Hastings;1;221;31.57;182.64
BE Hendricks;3;15;7.50;88.23
MC Henriques;4;273;27.30;114.70
BW Hilfenhaus;8;23;7.66;71.87
BJ Hodge;4;637;37.47;137.58
JO Holder;1;157;14.27;137.71
DJ Hussey;5;391;23.00;115.68
MEK Hussey;9;598;29.90;124.58
Imran Tahir;6;43;14.33;134.37
Iqbal Abdulla;1;-;-;-
RA Jadeja;16;267;38.14;155.23
KM Jadhav;10;242;30.25;145.78
SB Jakati;1;-;-;-
MG Johnson;14;56;18.66;112.00
JH Kallis;8;323;26.91;125.19
Karanveer Singh;5;25;25.00;65.78
KD Karthik;14;402;21.15;129.67
M Kartik;2;0;0.00;0.00
S Kaul;5;9;-;90.00
Z Khan;6;12;6.00;66.66
V Kohli;14;744;43.76;127.83
DS Kulkarni;8;45;45.00;128.57
B Kumar;14;1;1.00;20.00
P Kumar;3;55;18.33;130.95
CA Lynn;2;283;31.44;140.79
BB McCullum;14;755;31.45;126.67
NJ Maddinson;2;279;23.25;134.13
VS Malik;1;18;18.00;150.00
SL Malinga;10;25;4.16;125.00
Mandeep Singh;3;101;14.42;84.16
M Manhas;12;114;16.28;110.67
SE Marsh;2;193;48.25;135.91
GJ Maxwell;16;1123;23.39;169.63
DA Miller;16;1135;42.03;142.58
A Mishra;10;4;4.00;57.14
Mohammed Shami;12;3;1.50;42.85
JA Morkel;7;298;19.86;126.27
M Morkel;12;12;6.00;80.00
M Muralitharan;5;0;-;-
S Nadeem;11;14;4.66;45.16
KK Nair;11;420;30.00;131.25
SP Narine;16;72;12.00;98.63
AM Nayar;5;100;16.66;88.49
JDS Neesham;4;224;17.23;106.66
P Negi;2;8;8.00;160.00
A Nehra;4;-;-;-
NV Ojha;11;253;25.30;134.57
PP Ojha;12;20;10.00;58.82
IC Pandey;13;27;27.00;135.00
MK Pandey;16;656;29.81;121.93
WD Parnell;8;114;16.28;129.54
Parvez Rasool;3;139;27.80;112.09
AR Patel;17;145;14.50;121.84
HV Patel;3;44;11.00;151.72
PA Patel;12;295;21.07;110.07
IK Pathan;10;89;22.25;92.70
YK Pathan;15;470;33.57;158.78
KP Pietersen;11;616;25.66;117.33
KA Pollard;15;824;34.33;143.55
CA Pujara;6;214;23.77;98.61
AM Rahane;13;401;25.06;114.89
KL Rahul;11;241;18.53;94.14
SK Raina;16;845;42.25;150.08
R Rampaul;2;18;9.00;90.00
S Rana;9;163;27.16;107.23
AT Rayudu;15;373;23.31;120.32
KW Richardson;7;53;13.25;101.92
RR Rossouw;3;618;32.52;132.90
AD Russell;2;674;24.96;175.06
WP Saha;17;569;31.61;141.19
DJG Sammy;10;570;18.38;143.57
SV Samson;13;467;23.35;123.87
Sandeep Sharma;11;2;-;40.00
K Santokie;2;8;8.00;100.00
V Sehwag;17;741;28.50;135.71
V Shankar;1;60;15.00;120.00
Shakib Al Hasan;13;499;31.18;139.77
I Sharma;3;-;-;-
KV Sharma;14;139;19.85;129.90
MM Sharma;16;1;-;33.33
R Sharma;2;4;4.00;133.33
RG Sharma;15;590;32.77;127.15
Shivam Sharma;4;5;5.00;166.66
LR Shukla;5;86;21.50;102.38
R Shukla;3;35;35.00;109.37
LMP Simmons;8;1209;37.78;123.61
DR Smith;16;1203;29.34;129.35
SPD Smith;10;292;36.50;133.94
TG Southee;3;46;9.20;148.38
MA Starc;14;97;9.70;98.97
DW Steyn;14;28;5.60;84.84
P Suyal;1;-;-;-
YV Takawale;5;216;24.00;108.00
PV Tambe;13;19;9.50;76.00
AP Tare;15;304;21.71;118.28
LRPL Taylor;4;482;26.77;111.05
RN ten Doeschate;10;883;42.04;149.15
R Tewatia;3;16;16.00;123.07
MK Tiwary;8;298;37.25;120.16
JD Unadkat;9;9;3.00;60.00
RV Uthappa;16;949;41.26;135.18
Y Venugopal Rao;7;186;31.00;131.91
M Vijay;11;363;24.20;117.47
R Vinay Kumar;9;50;10.00;128.20
M Vohra;8;582;34.23;139.90
DA Warner;14;712;44.50;141.83
SR Watson;13;366;18.30;117.30
SA Yadav;16;302;27.45;137.89
UT Yadav;12;31;7.75;206.66
DH Yagnik;1;4;-;66.66
Yuvraj Singh;14;476;29.75;125.26
VH Zol;3;91;15.16;97.84
